pressure_extend,pressure_retract,position,velocity,pressure_diff,fault_any
4.32,187.4,0.0003,-0.0051,-183.08,0
7.21,184.76,0.0005,0.0008,-177.54999999999998,0
7.18,187.72,0.0001,-0.0097,-180.54,0
4.7,187.18,-0.0002,0.0001,-182.48,0
5.69,187.3,0.0012,0.0163,-181.61,0
5.95,187.35,0.0008,0.0044,-181.4,0
5.05,186.13,0.0002,-0.0085,-181.08,0
4.69,185.68,-0.0005,-0.0133,-180.99,0
6.06,186.88,-0.0016,0.0167,-180.82,0
4.07,185.49,-0.0003,0.0064,-181.42,0
4.82,186.16,0.0003,0.0147,-181.34,0
6.79,187.88,0.0,-0.0187,-181.09,0
3.41,187.4,-0.0029,-0.0026,-183.99,0
5.41,184.73,-0.0018,-0.0008,-179.32,0
5.54,187.67,0.0013,0.0024,-182.13,0
4.93,188.4,-0.0012,-0.0104,-183.47,0
3.27,188.49,0.0003,0.0091,-185.22,0
5.26,187.12,-0.0005,0.0043,-181.86,0
6.79,186.44,0.0015,-0.0037,-179.65,0
5.48,185.97,0.0002,-0.0086,-180.49,0
5.84,187.38,-0.0016,-0.0222,-181.54,0
4.83,187.55,-0.0002,-0.0123,-182.72,0
5.96,186.69,0.0002,0.0247,-180.73,0
6.69,187.78,-0.0003,-0.0045,-181.09,0
4.88,186.26,0.0004,0.0087,-181.38,0
5.1,187.99,0.0001,0.0087,-182.89,0
5.34,188.62,-0.0006,-0.0088,-183.28,0
5.04,186.92,-0.0019,-0.0008,-181.88,0
3.76,186.86,0.0002,0.0139,-183.1,0
6.09,187.71,0.0025,0.0134,-181.62,0
5.03,185.61,0.0002,0.0213,-180.58,0
4.01,187.32,0.0005,0.005,-183.31,0
5.46,185.74,-0.0013,-0.0096,-180.28,0
6.5,187.93,0.001,0.0129,-181.43,0
6.05,187.63,-0.0004,-0.0046,-181.58,0
5.49,186.92,-0.0002,0.0226,-181.43,0
4.47,186.48,0.0009,-0.0029,-182.01,0
5.07,188.74,0.0005,-0.0021,-183.67,0
4.49,185.97,-0.0007,0.0043,-181.48,0
5.86,187.25,-0.0002,-0.0057,-181.39,0
6.0,186.79,0.0021,-0.0244,-180.79,0
3.71,187.91,-0.0002,-0.0041,-184.2,0
6.43,186.32,0.001,-0.0122,-179.89,0
6.27,187.67,-0.0006,0.0033,-181.4,0
4.5,186.04,-0.0001,0.007,-181.54,0
6.2,187.19,0.0012,0.004,-180.99,0
4.91,186.7,0.0008,-0.0029,-181.79,0
3.97,186.2,0.0,0.0279,-182.23,0
4.3,188.44,-0.0014,0.0138,-184.14,0
3.71,187.91,-0.0003,0.0094,-184.2,0
4.79,188.44,-0.0,0.0184,-183.65,0
4.36,185.27,0.0005,-0.0048,-180.91,0
5.36,186.77,-0.0001,-0.0109,-181.41,0
4.67,187.91,0.0005,-0.0035,-183.24,0
4.25,187.74,0.0001,0.0043,-183.49,0
5.69,186.0,-0.0014,-0.0067,-180.31,0
5.18,187.1,0.0003,0.0121,-181.92,0
5.9,185.97,0.0007,-0.0,-180.07,0
4.85,185.07,-0.0014,-0.0023,-180.22,0
4.64,187.46,0.0006,-0.0073,-182.82,0
3.58,186.92,0.0012,0.0095,-183.34,0
6.81,185.94,-0.0021,0.0043,-179.13,0
3.5,187.31,-0.0001,-0.0054,-183.81,0
5.98,185.27,-0.0001,-0.0184,-179.29000000000002,0
4.01,186.67,-0.0003,-0.0005,-182.66,0
5.25,185.81,0.0009,0.005,-180.56,0
6.24,186.91,-0.0017,-0.0089,-180.67,0
5.55,186.58,0.0015,-0.0109,-181.03,0
3.42,185.72,0.0009,0.0104,-182.3,0
5.63,185.46,0.0004,-0.0102,-179.83,0
4.23,185.62,-0.0008,-0.0089,-181.39,0
4.86,188.26,-0.0007,0.0141,-183.4,0
4.84,185.85,-0.0017,-0.0258,-181.01,0
3.84,187.3,0.0002,0.0015,-183.46,0
4.22,186.91,-0.0006,-0.0146,-182.69,0
4.53,186.97,0.0011,0.0056,-182.44,0
3.73,185.53,-0.0006,0.0174,-181.8,0
4.62,186.56,-0.0007,0.0108,-181.94,0
4.53,186.37,0.0005,-0.0081,-181.84,0
4.96,186.34,0.0012,0.008,-181.38,0
8.18,185.46,-0.0011,-0.0027,-177.28,0
5.0,187.79,-0.0015,0.0058,-182.79,0
2.78,187.49,0.0016,0.0029,-184.71,0
3.54,186.12,-0.0004,-0.015,-182.58,0
4.71,187.05,0.0006,-0.0005,-182.34,0
5.79,187.44,0.0022,0.023,-181.65,0
2.84,185.36,0.0013,0.0069,-182.52,0
7.11,186.77,0.0007,-0.0101,-179.66,0
4.94,187.28,-0.0001,-0.0046,-182.34,0
5.62,187.67,0.0001,-0.0071,-182.05,0
5.94,188.16,-0.001,-0.0022,-182.22,0
4.04,186.61,0.0004,0.0065,-182.57,0
5.84,187.02,0.0,-0.0081,-181.18,0
4.08,186.73,0.0005,0.0133,-182.65,0
4.09,187.28,0.0008,-0.0021,-183.19,0
3.52,186.32,-0.0005,0.0133,-182.8,0
3.63,187.84,0.0021,0.0079,-184.21,0
3.31,188.18,0.0001,0.0011,-184.87,0
4.91,188.28,0.0008,0.0157,-183.37,0
4.71,187.2,-0.0013,0.023,-182.49,0
6.16,188.47,0.0006,0.0009,-182.31,0
5.15,186.89,-0.0006,0.0033,-181.74,0
4.52,186.75,0.0001,-0.0081,-182.23,0
5.05,186.97,0.0008,-0.0135,-181.92,0
5.82,186.16,-0.0018,-0.0044,-180.34,0
6.65,186.38,0.0001,-0.0101,-179.73,0
5.86,186.38,0.0012,-0.0023,-180.52,0
6.52,187.18,-0.0008,0.0004,-180.66,0
5.3,187.32,-0.0,-0.0172,-182.02,0
6.85,188.34,-0.0004,-0.0113,-181.49,0
3.6,187.22,0.0004,-0.0038,-183.62,0
4.1,187.67,0.0002,0.0086,-183.57,0
6.28,185.52,-0.0006,0.0023,-179.24,0
3.77,185.57,0.0013,0.0146,-181.8,0
4.66,186.4,0.0012,-0.0056,-181.74,0
6.3,186.62,-0.0005,-0.0053,-180.32,0
7.0,184.82,0.0007,-0.005,-177.82,0
3.13,186.77,0.0012,0.0035,-183.64,0
5.01,186.74,0.0009,-0.0103,-181.73,0
6.03,187.1,0.0008,0.0054,-181.07,0
5.15,186.14,0.0008,0.0036,-180.99,0
3.85,186.63,0.0002,-0.0052,-182.78,0
2.51,186.34,0.001,-0.0068,-183.83,0
5.19,186.25,-0.0016,-0.0048,-181.06,0
4.84,186.33,0.0018,0.0047,-181.49,0
4.72,187.12,-0.002,-0.0023,-182.4,0
6.48,185.55,-0.0003,0.0124,-179.07000000000002,0
4.7,185.79,0.0016,0.014,-181.09,0
4.24,187.42,0.0005,0.0097,-183.18,0
5.58,187.92,0.0003,0.0003,-182.34,0
6.59,188.39,0.0015,0.0087,-181.8,0
5.83,186.23,-0.0007,0.0184,-180.4,0
4.93,186.07,0.0006,-0.0007,-181.14,0
1.88,186.96,0.0017,-0.0105,-185.08,0
5.74,186.89,-0.0006,0.0018,-181.15,0
6.26,186.77,0.0009,-0.0034,-180.51,0
4.5,187.09,0.0006,-0.0077,-182.59,0
5.44,185.78,0.0008,-0.0158,-180.34,0
6.71,186.36,0.0005,-0.0098,-179.65,0
3.82,184.91,0.0012,0.0046,-181.09,0
4.69,187.5,-0.0002,0.0195,-182.81,0
4.14,187.24,-0.0003,0.0128,-183.1,0
3.49,186.77,0.0013,-0.0057,-183.28,0
5.48,187.85,-0.0011,0.011,-182.37,0
4.02,186.78,-0.0001,-0.012,-182.76,0
5.59,188.81,0.0004,-0.0133,-183.22,0
4.58,187.28,0.0015,-0.0004,-182.7,0
6.11,188.68,-0.0015,-0.0031,-182.57,0
3.56,187.64,-0.0006,-0.0009,-184.08,0
3.96,186.5,0.0007,0.013,-182.54,0
4.89,186.18,0.0008,-0.0024,-181.29,0
3.91,187.32,0.002,-0.0039,-183.41,0
6.3,186.3,0.0008,-0.0002,-180.0,0
3.49,188.72,0.0014,-0.0048,-185.23,0
2.95,187.34,0.0009,0.0017,-184.39,0
6.78,185.76,-0.0002,0.0049,-178.98,0
5.88,187.37,-0.0012,-0.0086,-181.49,0
5.98,188.15,-0.0006,0.0084,-182.17,0
3.82,185.79,-0.0002,0.0045,-181.97,0
5.61,185.9,0.0007,-0.0095,-180.29,0
7.1,185.85,-0.0003,-0.0102,-178.75,0
4.92,187.64,0.0004,0.0073,-182.72,0
4.55,188.29,0.0008,0.011,-183.74,0
4.56,185.51,0.0005,0.0038,-180.95,0
3.94,186.71,0.0009,0.0075,-182.77,0
6.1,188.46,0.0017,-0.0005,-182.36,0
4.4,187.49,0.0005,0.0118,-183.09,0
4.82,186.88,-0.0005,-0.0004,-182.06,0
5.18,186.07,0.001,0.0052,-180.89,0
4.83,186.65,-0.0001,-0.0095,-181.82,0
5.23,188.74,-0.0008,0.0022,-183.51,0
4.08,187.03,0.0007,0.0151,-182.95,0
3.79,187.32,0.0017,0.0099,-183.53,0
5.2,186.34,-0.0012,-0.0138,-181.14,0
5.85,187.94,-0.0013,-0.0043,-182.09,0
5.16,186.38,0.0011,-0.0031,-181.22,0
4.32,186.29,-0.0003,0.0096,-181.97,0
1.54,188.47,-0.0005,0.0073,-186.93,0
5.76,186.3,-0.0005,0.0041,-180.54,0
6.48,187.76,0.0004,0.0029,-181.28,0
5.12,186.78,-0.0014,0.0073,-181.66,0
5.63,185.98,-0.0009,0.0086,-180.35,0
5.0,186.96,0.0008,0.0024,-181.96,0
2.72,187.93,0.0001,-0.0055,-185.21,0
4.6,186.85,0.0012,0.0036,-182.25,0
4.38,185.65,-0.0001,0.0077,-181.27,0
8.11,189.64,0.0003,-0.0065,-181.53,0
5.68,186.79,-0.0002,0.0082,-181.11,0
4.26,186.35,-0.0009,-0.006,-182.09,0
3.97,186.34,0.0013,0.0035,-182.37,0
6.56,186.3,0.0007,-0.0123,-179.74,0
5.86,187.71,-0.0009,0.0016,-181.85,0
4.06,187.01,0.0004,-0.019,-182.95,0
5.91,187.74,0.002,0.005,-181.83,0
6.67,186.21,-0.0001,-0.0117,-179.54000000000002,0
3.03,186.21,-0.0004,0.005,-183.18,0
6.74,186.14,0.0005,0.0001,-179.39999999999998,0
2.96,186.35,0.0006,0.0266,-183.39,0
4.23,185.72,-0.0012,-0.0038,-181.49,0
5.31,185.53,-0.0002,0.0046,-180.22,0
4.88,187.96,0.0007,0.0185,-183.08,0
5.53,185.41,0.0018,0.0094,-179.88,0
5.01,187.69,-0.0002,0.0234,-182.68,0
6.28,187.43,-0.0005,-0.0044,-181.15,0
6.51,186.62,-0.0004,0.0143,-180.11,0
5.04,188.33,0.0001,0.0073,-183.29,0
5.77,185.7,0.0002,-0.0051,-179.92999999999998,0
5.6,186.7,0.0006,0.0028,-181.1,0
5.15,188.21,0.0011,0.0067,-183.06,0
3.74,186.1,-0.0015,-0.0076,-182.36,0
5.42,188.17,-0.0011,-0.0057,-182.75,0
5.27,187.68,0.0012,-0.0006,-182.41,0
4.14,185.85,0.0007,0.0045,-181.71,0
4.95,186.25,-0.0014,0.0078,-181.3,0
4.32,186.55,0.0002,0.0012,-182.23,0
6.14,184.79,-0.0005,-0.0129,-178.65,0
5.8,187.11,-0.0006,0.0056,-181.31,0
3.86,187.53,-0.0016,0.0091,-183.67,0
4.91,184.67,0.0011,-0.0007,-179.76,0
6.07,187.67,0.0007,0.0053,-181.6,0
5.08,187.76,0.0025,0.0218,-182.68,0
4.74,184.99,-0.0004,0.0062,-180.25,0
4.99,187.52,-0.0028,0.0028,-182.53,0
4.54,186.44,-0.0017,-0.0027,-181.9,0
2.93,186.92,-0.0006,0.005,-183.99,0
4.08,187.05,-0.0008,0.0079,-182.97,0
5.87,188.03,0.0007,0.0138,-182.16,0
3.81,186.98,0.001,0.0205,-183.17,0
5.27,187.17,-0.0006,0.0112,-181.9,0
5.28,188.5,-0.0012,-0.0018,-183.22,0
4.34,186.55,0.0001,-0.0109,-182.21,0
7.48,185.41,0.0008,-0.0041,-177.93,0
4.49,186.24,0.0005,0.0024,-181.75,0
4.59,187.95,-0.0,0.007,-183.36,0
5.63,187.77,0.0007,-0.0081,-182.14,0
4.47,186.32,-0.0011,-0.0166,-181.85,0
5.12,186.93,0.0005,0.0075,-181.81,0
4.34,186.74,-0.0,-0.0138,-182.4,0
5.9,185.55,-0.0012,0.0092,-179.65,0
5.36,186.92,-0.0005,-0.0004,-181.56,0
5.25,184.95,-0.0004,-0.0213,-179.7,0
4.17,187.87,-0.0001,-0.0067,-183.7,0
4.16,188.68,-0.0019,0.0181,-184.52,0
5.11,187.3,-0.0003,0.0079,-182.19,0
4.76,187.96,-0.0002,0.0073,-183.2,0
4.76,187.71,0.001,-0.0061,-182.95,0
5.37,186.67,0.0009,0.0122,-181.3,0
5.23,186.91,0.0016,-0.0063,-181.68,0
3.6,184.67,0.0002,0.0146,-181.07,0
5.35,185.5,0.0,-0.0054,-180.15,0
3.26,186.74,0.001,-0.0022,-183.48,0
4.47,187.33,0.0001,0.0108,-182.86,0
5.41,186.46,0.0009,-0.0023,-181.05,0
4.49,187.72,0.0011,-0.0079,-183.23,0
5.17,185.9,0.0005,-0.0035,-180.73,0
3.63,186.06,0.0018,0.0014,-182.43,0
3.0,186.4,0.0003,0.0203,-183.4,0
6.45,187.79,-0.001,-0.0048,-181.34,0
4.1,187.79,-0.0004,0.0172,-183.69,0
4.26,186.72,-0.0016,-0.0031,-182.46,0
4.28,187.49,-0.0006,-0.0009,-183.21,0
4.49,187.4,0.0007,0.0119,-182.91,0
5.23,186.61,-0.0003,0.0029,-181.38,0
4.98,187.5,-0.0005,0.0071,-182.52,0
4.08,186.38,0.0001,-0.0035,-182.3,0
4.93,188.33,-0.0014,-0.0181,-183.4,0
6.55,186.38,0.0003,-0.0056,-179.82999999999998,0
6.72,186.54,-0.0012,0.0049,-179.82,0
6.18,186.45,-0.0011,-0.0193,-180.27,0
6.45,188.12,0.0003,0.0091,-181.67,0
6.86,187.02,0.0012,0.0101,-180.16,0
6.92,185.8,-0.0007,0.0095,-178.88000000000002,0
4.8,186.8,0.0017,-0.0077,-182.0,0
3.18,186.98,-0.0006,-0.0035,-183.8,0
5.62,187.93,0.0006,0.0071,-182.31,0
5.06,186.18,-0.0016,0.0175,-181.12,0
6.23,186.54,-0.0007,-0.0009,-180.31,0
4.26,187.03,0.0014,0.0032,-182.77,0
4.4,186.9,-0.0007,0.0032,-182.5,0
6.72,186.66,-0.001,0.0095,-179.94,0
5.39,185.86,0.0013,-0.0118,-180.47000000000003,0
5.07,187.85,0.0011,-0.0147,-182.78,0
5.38,187.58,0.0007,0.0056,-182.2,0
5.9,187.95,0.0012,-0.0028,-182.05,0
7.55,187.46,0.0011,-0.0063,-179.91,0
6.09,188.89,0.0,-0.0029,-182.8,0
3.86,187.99,-0.0019,0.0029,-184.13,0
4.44,186.37,0.0004,-0.004,-181.93,0
2.98,186.45,0.0006,-0.0025,-183.47,0
4.8,189.15,0.0004,-0.0139,-184.35,0
4.76,186.88,0.0007,0.0035,-182.12,0
4.36,187.81,-0.0004,-0.0031,-183.45,0
4.11,185.65,-0.0003,0.0093,-181.54,0
5.15,186.85,-0.0007,0.0081,-181.7,0
5.22,187.0,-0.0015,0.001,-181.78,0
5.43,187.03,0.0001,0.003,-181.6,0
3.69,187.37,0.0011,-0.0085,-183.68,0
4.13,187.45,-0.0007,-0.0068,-183.32,0
5.79,187.75,-0.0006,-0.0005,-181.96,0
5.81,188.21,-0.0002,-0.021,-182.4,0
6.18,187.33,-0.0017,-0.0013,-181.15,0
6.61,186.95,0.0005,0.0125,-180.34,0
4.93,185.97,-0.0002,0.0013,-181.04,0
5.28,185.26,-0.0015,-0.0226,-179.98,0
3.5,186.26,0.0005,0.0054,-182.76,0
3.23,187.75,-0.0007,0.0066,-184.52,0
4.41,186.63,-0.002,-0.0128,-182.22,0
4.13,187.0,-0.0023,0.0069,-182.87,0
4.1,186.33,-0.0018,0.0054,-182.23,0
3.74,186.82,0.0005,0.0142,-183.08,0
4.53,188.24,0.0006,0.0043,-183.71,0
4.82,184.18,-0.0001,-0.0073,-179.36,0
4.55,187.27,0.0002,0.0089,-182.72,0
5.2,187.26,-0.0004,-0.0042,-182.06,0
4.24,186.63,-0.0004,0.0152,-182.39,0
5.51,187.36,-0.0005,-0.0048,-181.85,0
5.87,185.27,0.0018,-0.024,-179.4,0
5.64,183.83,0.0001,0.002,-178.19000000000003,0
7.24,187.01,0.0002,-0.0128,-179.76999999999998,0
6.6,186.28,0.001,-0.0013,-179.68,0
3.69,187.93,-0.0009,-0.0111,-184.24,0
6.22,186.83,0.0013,0.0052,-180.61,0
5.27,185.95,0.0002,-0.0194,-180.68,0
6.61,187.02,0.0003,-0.0059,-180.41,0
7.22,187.44,-0.0018,-0.0118,-180.22,0
4.47,186.7,-0.0016,0.0229,-182.23,0
5.2,188.49,-0.0015,0.0053,-183.29,0
3.47,187.25,-0.0002,0.0015,-183.78,0
5.52,187.53,0.0006,0.0108,-182.01,0
4.62,185.43,0.0011,0.0049,-180.81,0
5.59,186.14,-0.0006,0.0227,-180.55,0
4.2,186.62,0.0007,0.016,-182.42,0
6.46,188.42,0.0011,-0.0084,-181.96,0
4.81,186.73,-0.0001,-0.0086,-181.92,0
3.54,186.12,-0.0008,0.0019,-182.58,0
3.53,185.69,0.0002,0.0076,-182.16,0
3.9,187.39,0.0002,-0.0025,-183.49,0
5.47,187.22,0.0019,0.0042,-181.75,0
3.63,185.86,0.0009,-0.019,-182.23,0
5.16,185.2,-0.0004,0.0071,-180.04,0
5.34,185.04,0.0007,0.0028,-179.7,0
5.05,187.87,0.0001,0.0086,-182.82,0
4.82,185.79,0.0003,0.0066,-180.97,0
279.56,5.25,1.6788,167.7872,274.31,1
280.47,5.6,2.4985,0.0026,274.87,1
278.84,4.79,2.499,-0.0019,274.04999999999995,1
279.71,5.7,2.5006,-0.0169,274.01,1
280.83,5.98,2.4993,-0.0158,274.85,1
279.77,4.69,2.5016,-0.0042,275.08,1
280.55,6.55,2.4995,0.007,274.0,1
277.89,4.05,2.4999,-0.002,273.84,1
281.33,4.73,2.4993,0.0023,276.6,1
279.34,4.36,2.4992,-0.0033,274.98,1
279.86,4.68,2.4993,0.0263,275.18,1
279.59,5.07,2.5,0.0141,274.52,1
280.95,5.55,2.499,-0.0024,275.4,1
278.84,5.46,2.4978,0.011,273.38,1
278.5,4.81,2.4986,-0.0118,273.69,1
280.9,4.51,2.5023,0.0125,276.39,1
281.16,4.88,2.4983,0.014,276.28000000000003,1
278.65,5.24,2.4996,-0.0058,273.41,1
279.18,5.33,2.5009,-0.0108,273.85,1
280.43,6.13,2.5009,-0.0045,274.3,1
280.42,5.57,2.5004,-0.0092,274.85,1
279.38,5.27,2.5001,0.006,274.11,1
280.57,5.9,2.4992,0.0041,274.67,1
280.57,4.29,2.4994,-0.0116,276.28,1
279.48,5.31,2.4994,0.004,274.17,1
278.38,5.06,2.5008,-0.0093,273.32,1
278.75,6.71,2.4999,0.0036,272.04,1
281.0,5.81,2.5013,-0.0123,275.19,1
276.23,5.22,2.5005,0.0092,271.01,1
280.41,6.13,2.4998,0.001,274.28000000000003,1
278.72,2.75,2.4995,-0.0171,275.97,1
280.84,4.63,2.5013,-0.0155,276.21,1
279.99,5.29,2.499,0.0033,274.7,1
280.84,4.8,2.4995,0.0137,276.04,1
278.75,4.9,2.5002,-0.0092,273.85,1
279.83,4.33,2.4996,-0.0046,275.5,1
279.53,5.34,2.4986,-0.0086,274.19,1
279.53,4.18,2.5002,0.0163,275.35,1
